agency,state,population,latitude,longitude,violent_crime_rate,property_crime_rate,homicide_rate
Lubbock Police Dept,TX,237241,33.5779,101.8552,827.0071362032701,5173.2204804397215,4.63663532020182
Madison City Police Dept,WI,237508,43.0731,89.4012,377.67148896037185,3264.3110968893675,1.2631153476935515
Manchester Police Dept,NH,110040,42.9956,71.4548,567.0665212649945,3496.910214467466,0.9087604507451835
Mcallen Police Dept,TX,135745,26.2034,98.23,122.28811374267929,4025.9309735165198,0.7366753839920439
Mckinney Police Dept,TX,138105,33.1972,96.6398,165.8158647405959,2017.3056732196517,0.0
Mesquite Police Dept,TX,144811,32.7668,96.5992,305.225431769686,4340.139906498815,1.3811105509940544
Midland Police Dept,TX,115637,31.9973,102.0779,344.1804958620511,2601.2435466157026,3.4591004609251366
Miramar Police Dept,FL,125998,25.9861,80.3036,426.19724122605123,2368.2915601834948,1.587326782964809
Modesto Police Dept,CA,204631,37.6391,120.9963,777.0083711656591,5510.406536644008,9.773690203341625
Montgomery Police Dept,AL,209018,32.3668,86.3,395.6597039489422,5768.881148991953,21.050818589786527
Moreno Valley,CA,199673,33.9425,117.2297,353.5781001938169,3190.716822003976,2.5040941940072017
Murfreesboro Police Dept,TN,112247,35.8456,86.3903,624.515577253735,3568.9149821376072,2.6726772207720475
City Of Murrieta Police Dept,CA,106839,33.5539,117.2139,65.51914563034099,1605.219067943354,0.9359877947191568
Naperville Police Dept,IL,142840,41.7508,88.1535,83.30999719966395,1430.9717166059927,2.100252030243629
New Haven Police Dept,CT,129934,41.3083,72.9279,1439.1922052734467,5014.8536949528225,13.083565502485877
Newport News Police Dept,VA,181591,33.6189,117.9289,415.21881591048015,3151.0372210076494,11.0137616952382
Norfolk Police Dept,VA,245303,36.8508,7602859.0,543.001920074357,4643.644798473724,13.860409371267371
Norman Police Dept,OK,113969,35.2226,97.4395,151.79566373312042,2676.1663259307356,0.8774315822723723
North Charleston Police Dept,SC,100675,32.8546,79.9748,732.058604420164,5718.400794636205,12.912838341196922
North Las Vegas Police Dept,NV,221884,36.1989,115.1175,763.9126750914892,2494.0960141335113,6.309603216094896
Norwalk,CA,107295,41.1177,73.4082,403.560277738944,2431.613775106016,10.252108672351927
Oceanside,CA,171141,33.1959,117.3795,425.3802420226597,2506.1206841142684,4.674508154095161
Odessa Police Dept,TX,103635,31.8457,102.3676,1064.312249722584,3586.6261398176293,4.824624885415159
Olathe Police Dept,KS,128560,38.8814,94.8191,148.5687616677038,1929.0603609209707,0.0
Ontario Police Dept,CA,167933,34.0633,117.6509,317.9839578879672,3010.7245151340117,1.786426729707681
Orange Police Dept,CA,139692,33.7175,117.8311,96.6411820290353,2028.0331013944965,2.863442430489935
Orlando Police Dept,FL,246513,28.5383,81.3792,1017.3905635808254,6613.849979514265,9.735794866802156
City Of Overland Park Police Dept,KS,177085,38.9822,94.6708,160.93966174436005,2303.4136149306833,1.1294011350481408
Oxnard Police Dept,CA,201797,34.1978,119.1771,298.815145913963,2017.3738955484969,4.459927550954672
Palm Bay Police Dept,FL,104635,28.0345,80.5887,528.5038467052134,2348.1626606775935,2.8671094757968176
Palmdale,CA,155294,34.5794,118.1165,522.8791839993819,2184.8880188545595,3.863639290635826
Pasadena Police Dept,CA,139382,34.1478,118.1445,310.65704323370306,2424.2728616320614,3.5872637786801738
Pasadena Police Dept,TX,154562,29.6911,95.2091,402.4275048200722,3629.6114180717127,5.175916460708325
Paterson Police Dept,NJ,147148,40.9168,74.1718,1054.7204175388044,3153.287846250034,14.271345855872998
Pembroke Pines Police Dept,FL,159744,26.0078,80.2963,148.9883814102564,2652.994791666667,1.252003205128205
Peoria Police Dept,AZ,158347,33.5806,112.2374,186.93123330407272,2951.113693344364,5.683719931542751
Peoria Police Dept,IL,115288,40.6936,89.589,797.1341336479079,4356.047463742974,8.673929637082784
Pomona Police Dept,CA,151511,34.0551,117.75,673.878464269921,3336.3914171248293,11.220307436423758
Pompano Beach Police Dept,FL,103003,26.2379,80.1248,1029.0962399153423,5399.842723027485,4.854227546770482
City Of Port St Lucie Police Dept,FL,168416,27.273,80.3582,234.53828614858446,1799.7102413072394,2.3750712521375643
Providence Police Dept,RI,177882,41.824,71.4128,636.9390944558752,4484.433500860121,9.556897268976062
Provo Police Dept,UT,116879,40.2338,111.6585,127.48226798655018,2109.0187287707804,0.0
Pueblo Police Dept,CO,109065,38.2544,104.6091,730.7568880942557,6445.697519827626,7.335075413744098
Rancho Cucamonga,CA,169276,34.1064,117.5931,189.63113495120393,2576.856731019164,2.363004796899738
Reno Police Dept,NV,230486,39.5296,119.8138,517.1680709457407,3220.5860659649607,3.0370608193122357
Rialto Police Dept,CA,101595,34.1064,117.3703,501.00890791869676,3514.936758698755,3.9372016339386784
Richardson Police Dept,TX,103266,32.9483,96.7299,165.59177270350358,2908.9923111188577,1.9367458795731414
Richmond Police Dept,CA,106357,37.9358,122.3477,1092.5467999285424,4718.072153219816,16.924132873247647
Richmond (City) Bureau Of Police,VA,207799,37.5407,77.436,648.7037954946848,4380.675556667742,20.211839325502048
Rochester Police Dept,MN,108582,44.0121,92.4802,0.0,2505.94021108471,1.8419259177395886
Rochester Police Dept,NY,211993,43.161,77.6109,975.97562183657,5322.345549145491,16.981692791743125
Rockford Police Dept,IL,152293,42.2711,89.094,1367.7582029377581,4995.633417162969,5.909660982448307
Roseville Police Dept,CA,122896,38.7521,121.288,238.4129670615805,2675.432886342924,1.627392266631949
Round Rock Police Dept,TX,106232,30.5083,97.6789,132.72836810000754,2481.361548309361,0.0
Salem Police Dept,OR,157353,42.5195,70.8967,358.4297725496177,4277.643260694108,4.448596467814404
Salinas Police Dept,CA,154413,36.6777,121.6555,665.0994411092331,3177.1936300700067,13.599891200870394
Salt Lake City Police Dept,UT,192465,40.7608,111.891,675.4474839581222,7459.53809783597,4.156599901280752
San Bernardino Police Dept,CA,214987,34.1083,117.2889,940.5219850502588,4888.667686883393,21.861786991771595
Santa Clara Police Dept,CA,119360,37.3541,121.9552,185.15415549597856,2769.7721179624664,0.0
Santa Clarita,CA,179248,37.3541,121.9552,190.79710791752208,1529.7241810229402,0.557886280460591
Santa Maria Police Dept,CA,101207,34.953,120.4357,681.771023743417,2401.019692313773,0.0
Santa Rosa Police Dept,CA,170862,38.4404,122.7141,372.2302208800084,2234.5518605658367,1.17053528578619
Savannah Police Dept,GA,231285,32.0835,81.0998,379.61821994508944,3599.4552175886893,9.944440841386168
Scottsdale Police Dept,AZ,223432,33.4942,111.9261,147.24837982025852,2706.4162698270616,1.3426903934977978
Shreveport Police Dept,LA,202164,32.5252,93.7502,766.7042599077977,4878.217684652065,8.409014463504878
Simi Valley Police Dept,CA,126686,34.2694,118.7815,111.29880176183634,1512.400738834599,2.368059611953965
Sioux Falls Police Dept,SD,158354,43.5446,96.7311,398.4743044065827,3183.3739596094824,1.2629930409083447
South Bend Police Dept,IN,101398,41.6764,86.252,613.4243278960138,4760.448924041894,17.751829424643486
Spokane Police Dept,WA,212163,47.6588,117.426,645.258598341841,8730.080174205681,6.127364337796883
Springfield Police Dept,IL,117131,44.0642,123.022,971.5617556411198,5929.258693257976,8.5374495223297
Springfield Police Dept,MA,154518,42.1015,72.5898,1039.361110032488,4545.748715360023,7.118911712551289
Springfield Police Dept,MO,160962,37.209,93.2923,991.5383755172029,9010.82243013879,9.94023434102459
St. Petersburg Police Dept,FL,248340,27.7518,82.6267,901.5865345896754,5013.690907626641,6.040106305870983
Stamford Police Dept,CT,124201,41.0534,73.5387,282.60642023816234,1555.5430310545003,4.025732482025104
Sterling Heights Police Dept,MI,129974,42.5803,83.0302,178.4972379091203,1983.4736178004832,3.0775385846400045
Sunnyvale Dept Of Public Safety,CA,143606,37.3688,122.0363,118.37945489742768,1779.173572134869,2.0890492040722535
Surprise Police Dept,AZ,120793,33.6292,112.3679,134.11373175597925,2059.7220037584957,2.4835876251107267
Syracuse Police Dept,NY,145934,43.0481,76.1474,940.1510271766689,4095.0018501514382,9.593377828333356
Tacoma Police Dept,WA,202646,47.2529,122.4443,796.9562685668604,6349.0026943537005,5.921656484707322
Tallahassee Police Dept,FL,185461,30.4383,84.2807,853.0095276095783,4646.259860563677,6.4703630412863085
Temecula,CA,103414,33.4936,117.1484,93.79774498617209,2359.448430579999,0.0
Tempe Police Dept,AZ,166061,33.4255,111.94,528.7213734711943,4711.521669747864,6.624071877201751
Thornton Police Dept,CO,123115,39.868,104.9719,269.6665719043171,2645.494050278195,0.812248710555172
Thousand Oaks,CA,129171,34.1706,118.8376,121.5443094812303,1422.9200052643396,0.0
Topeka Police Dept,KS,128843,39.0558,95.689,599.1788455717424,5309.562801238717,11.642076014994995
Torrance Police Dept,CA,147851,33.8358,118.3406,128.50775442844485,1819.3992600658771,2.705426409019892
Tyler Police Dept,TX,100040,32.3513,95.3011,536.7852858856457,4504.198320671731,3.9984006397441023
Vallejo Police Dept,CA,117912,38.1041,122.2566,744.6231087590745,4956.238550783635,11.873261415292761
Vancouver Police Dept,WA,166375,49.2827,123.1207,355.8226897069872,3893.6138241923363,3.005259203606311
Ventura Police Dept,CA,108511,34.2746,119.229,285.68532222539653,3580.2821833731145,0.9215655555657951
Victorville,CA,118687,34.5362,117.2928,569.5653272894251,3761.995837791839,5.055313555823299
Visalia Police Dept,CA,127604,36.3302,119.2921,426.3189241716561,4334.503620576158,3.918372464813015
City Of Waco Police Dept,TX,128595,31.5493,97.1467,493.7983591897041,4544.500174967923,4.665811267934212
Warren Police Dept,MI,134340,42.5145,83.0147,532.2316510346881,2818.966800655054,0.0
Waterbury Police Dept,CT,110486,41.5582,73.0515,296.8701916984957,4265.698821570154,4.525460239306337
West Covina Police Dept,CA,107861,34.0686,117.939,260.5204846978982,2989.0321803061347,1.8542383252519445
West Jordan Police Dept,UT,107103,40.6097,111.9391,185.80245184541982,2769.296845093041,1.8673613250795962
West Palm Beach Police Dept,FL,102422,26.7153,80.0534,801.585596844428,5276.21018921716,16.597996524184257
West Valley Police Dept,UT,133725,40.6916,112.0011,447.9341933071602,4164.516732099458,0.7478033277248084
Westminster Police Dept,CO,109461,39.8367,105.0372,259.4531385607659,2585.3957117146747,1.8271347785969432
Wichita Falls Police Dept,TX,105488,33.9137,98.4934,450.28818443804033,4759.78310329137,4.739875625663583
Wilmington Police Dept,NC,109370,34.225,77.9447,565.0544024869708,5403.675596598702,7.314620096918717
Winston-Salem Police Dept,NC,234687,30.0999,80.2442,663.0107334449714,5837.98846974907,2.5565966585281674
Woodbridge Police Dept,NJ,100612,38.6582,77.2497,121.25790164195125,1955.0351846698209,0.0
Worcester Police Dept,MA,183247,42.2626,71.8023,959.3608626607802,3510.016535059237,4.365692207785121
Yonkers Police Dept,NY,198464,40.9312,73.8987,570.8843921315704,1292.4258303772976,2.015478877781361
